Estacao,AnoMes,Precipitacao
INMET_S_RS_A833_SANTIAGO_01-01-2024_A_31-12-2024,2024-12,44.6
INMET_S_RS_A893_ENCRUZILHADA DO SUL_01-01-2024_A_31-12-2024,2024-01,74.2
INMET_S_RS_A893_ENCRUZILHADA DO SUL_01-01-2024_A_31-12-2024,2024-02,23.6
INMET_S_RS_A893_ENCRUZILHADA DO SUL_01-01-2024_A_31-12-2024,2024-03,2.6
INMET_S_RS_A893_ENCRUZILHADA DO SUL_01-01-2024_A_31-12-2024,2024-04,84.4
INMET_S_RS_A893_ENCRUZILHADA DO SUL_01-01-2024_A_31-12-2024,2024-05,16.6
INMET_S_RS_A893_ENCRUZILHADA DO SUL_01-01-2024_A_31-12-2024,2024-06,38.8
INMET_S_RS_A893_ENCRUZILHADA DO SUL_01-01-2024_A_31-12-2024,2024-07,33.0
INMET_S_RS_A893_ENCRUZILHADA DO SUL_01-01-2024_A_31-12-2024,2024-08,45.6
INMET_S_RS_A893_ENCRUZILHADA DO SUL_01-01-2024_A_31-12-2024,2024-09,1.4000000000000001
INMET_S_RS_A893_ENCRUZILHADA DO SUL_01-01-2024_A_31-12-2024,2024-10,22.6
INMET_S_RS_A893_ENCRUZILHADA DO SUL_01-01-2024_A_31-12-2024,2024-11,31.0
INMET_S_RS_A893_ENCRUZILHADA DO SUL_01-01-2024_A_31-12-2024,2024-12,18.6
INMET_S_RS_A831_QUARAI_01-01-2024_A_31-12-2024,2024-01,92.0
INMET_S_RS_A831_QUARAI_01-01-2024_A_31-12-2024,2024-02,3.0
INMET_S_RS_A831_QUARAI_01-01-2024_A_31-12-2024,2024-03,44.6
INMET_S_RS_A831_QUARAI_01-01-2024_A_31-12-2024,2024-04,56.6
INMET_S_RS_A831_QUARAI_01-01-2024_A_31-12-2024,2024-05,3.4000000000000004
INMET_S_RS_A831_QUARAI_01-01-2024_A_31-12-2024,2024-06,54.4
INMET_S_RS_A831_QUARAI_01-01-2024_A_31-12-2024,2024-07,73.60000000000001
INMET_S_RS_A831_QUARAI_01-01-2024_A_31-12-2024,2024-08,15.0
INMET_S_RS_A831_QUARAI_01-01-2024_A_31-12-2024,2024-09,84.6
INMET_S_RS_A831_QUARAI_01-01-2024_A_31-12-2024,2024-10,23.6
INMET_S_RS_A831_QUARAI_01-01-2024_A_31-12-2024,2024-11,13.4
INMET_S_RS_A831_QUARAI_01-01-2024_A_31-12-2024,2024-12,45.2
INMET_S_RS_B807_PORTO ALEGRE- BELEM NOVO_01-01-2024_A_31-12-2024,2024-01,77.6
INMET_S_RS_B807_PORTO ALEGRE- BELEM NOVO_01-01-2024_A_31-12-2024,2024-02,131.2
